thermo_style    custom step time temp ke pe etotal press vol f_tpi[1]
run             500000
Per MPI rank memory allocation (min/avg/max) = 3.654 | 3.654 | 3.654 Mbytes
Step Time Temp KinEng PotEng TotEng Press Volume f_tpi[1] 
   17650         35.3    1.4739751    2.2087517   -4.7311345   -2.5223828    2.3034361    1315.7895    2.5034152 
   17700         35.4    1.4419231    2.1607217   -4.6609872   -2.5002655    2.5834857    1315.7895    1.4393929 
   17750         35.5    1.4147635    2.1200232   -4.6492819   -2.5292587    2.5989788    1315.7895    4.2002172 
   17800         35.6    1.4542547    2.1792006   -4.6852762   -2.5060756    2.4914252    1315.7895  -0.48356739 
   17850         35.7    1.4408161     2.159063   -4.6969129   -2.5378499    2.4591376    1315.7895    2.3576238 
   17900         35.8    1.3558449    2.0317335    -4.629636   -2.5979025    2.6268683    1315.7895 -0.039547519 
   17950         35.9    1.3948916     2.090245   -4.6905879   -2.6003429    2.3320448    1315.7895    1.8358814 
   18000           36      1.42901    2.1413715   -4.6642527   -2.5228812    2.4762072    1315.7895   0.72913162 
   18050         36.1    1.4480722    2.1699362   -4.7040669   -2.5341307    2.2895103    1315.7895   -1.4929058 
   18100         36.2    1.4094526    2.1120647   -4.6892247     -2.57716    2.4356251    1315.7895    2.0842553 
   18150         36.3    1.4107371    2.1139895   -4.6998002   -2.5858107    2.3577463    1315.7895    2.7907437 
   18200         36.4    1.4103374    2.1133906   -4.7141077   -2.6007172    2.2823145    1315.7895    1.2146507 
   18250         36.5    1.4104278    2.1135261   -4.7567992   -2.6432731    2.1888488    1315.7895    5.0021951 
   18300         36.6    1.3905695    2.0837683   -4.7497564   -2.6659881    2.2171537    1315.7895  -0.32011386 
   18350         36.7     1.369558    2.0522827   -4.7413859   -2.6891032    2.2107062    1315.7895   0.41815478 
   18400         36.8    1.3977526    2.0945323   -4.7788525   -2.6843203    2.0487887    1315.7895    1.9976368 
   18450         36.9    1.3817211    2.0705091   -4.7583439   -2.6878348    2.0736158    1315.7895  -0.91784101 
   18500           37    1.3942409      2.08927   -4.8138342   -2.7245642    1.8632169    1315.7895  -0.24312054 
   18550         37.1    1.3727148    2.0570131   -4.7763297   -2.7193165    2.0289344    1315.7895    5.3732705 
   18600         37.2    1.3183608    1.9755637   -4.6889162   -2.7133525    2.4290126    1315.7895  -0.25941365 
   18650         37.3    1.3556076     2.031378   -4.7138391   -2.6824611    2.3395934    1315.7895    2.5200785 
   18700         37.4    1.3557228    2.0315507   -4.6791993   -2.6476487      2.43142    1315.7895    4.2220342 
   18750         37.5    1.3208264    1.9792583    -4.701789   -2.7225307    2.2306358    1315.7895    2.7531779 
   18800         37.6    1.3497176    2.0225519   -4.7355485   -2.7129966    2.0916614    1315.7895   -1.2267505 
   18850         37.7    1.3915832    2.0852874   -4.7072847   -2.6219973    2.2703136    1315.7895    1.5282981 
   18900         37.8    1.3745016    2.0596907   -4.6922585   -2.6325678    2.2960835    1315.7895   0.35494937 
   18950         37.9    1.4253369    2.1358673   -4.7509973   -2.6151299    2.0818736    1315.7895    6.0339798 
   19000           38    1.4157906    2.1215623   -4.7167612   -2.5951989    2.2600147    1315.7895    6.6716599 
   19050         38.1    1.4043458    2.1044122   -4.6802423   -2.5758301    2.4903268    1315.7895    1.4064885 
   19100         38.2    1.4569392    2.1832234   -4.6870836   -2.5038602    2.4986013    1315.7895   -1.9327924 
   19150         38.3    1.4488799    2.1711466   -4.6690466      -2.4979    2.6029467    1315.7895      2.17426 
   19200         38.4    1.4782217    2.2151152   -4.7175462    -2.502431    2.4289646    1315.7895    5.6952349 
   19250         38.5    1.4403235    2.1583248   -4.7253856   -2.5670609    2.3061965    1315.7895    1.3117048 
   19300         38.6     1.410423    2.1135188   -4.6905376   -2.5770188    2.3521858    1315.7895     1.090693 
   19350         38.7    1.4069011    2.1082414   -4.7121696   -2.6039282    2.2436622    1315.7895     4.218607 
   19400         38.8    1.4536816    2.1783418    -4.704513   -2.5261712    2.3440105    1315.7895    7.8789934 
   19450         38.9    1.4241844    2.1341403   -4.7266932   -2.5925529    2.2603237    1315.7895     1.752066 
   19500           39    1.4199855    2.1278482   -4.7194663   -2.5916181    2.2540392    1315.7895    -1.669497 
   19550         39.1    1.4288058    2.1410654   -4.6524403   -2.5113749    2.5207101    1315.7895   0.77991117 
   19600         39.2    1.4160546    2.1219578   -4.6549805   -2.5330227     2.509192    1315.7895    2.3686577 
   19650         39.3    1.4464905    2.1675661   -4.7160829   -2.5485168    2.2789788    1315.7895    1.3244052 
   19700         39.4    1.4351899     2.150632     -4.71559    -2.564958    2.2785156    1315.7895    4.0448134 
   19750         39.5    1.4117377    2.1154889   -4.6634767   -2.5479878    2.4677085    1315.7895    3.7624731 
   19800         39.6    1.4235598    2.1332044   -4.7363948   -2.6031904    2.1623507    1315.7895    3.6710203 
   19850         39.7    1.3720446    2.0560088   -4.7023388     -2.64633     2.214422    1315.7895    2.2800563 
   19900         39.8    1.3711575    2.0546795   -4.6802427   -2.6255632    2.3754188    1315.7895     11.16186 
   19950         39.9     1.339499    2.0072393   -4.6899729   -2.6827337    2.3168513    1315.7895   0.10338924 
   20000           40    1.3397491     2.007614   -4.6645038   -2.6568898    2.4299575    1315.7895 -0.073536892 
   20050         40.1    1.4155839    2.1212525   -4.7181129   -2.5968604    2.2668695    1315.7895    6.0641221 
   20100         40.2    1.3892893      2.08185   -4.7160266   -2.6341766    2.2612361    1315.7895    3.3505611 
   20150         40.3    1.4038249    2.1036316   -4.7189226    -2.615291    2.2498399    1315.7895    1.7672219 
   20200         40.4    1.4362308    2.1521919   -4.7389665   -2.5867746    2.1740406    1315.7895    1.9328435 
   20250         40.5    1.3693816    2.0520183   -4.7054105   -2.6533922    2.2723047    1315.7895    7.6206818 
   20300         40.6     1.360553    2.0387886   -4.7177783   -2.6789897     2.222898    1315.7895  -0.75033053 
   20350         40.7    1.3680447     2.050015   -4.7430261   -2.6930111    2.0887776    1315.7895  -0.73548529 
   20400         40.8    1.3723334    2.0564415   -4.7631644   -2.7067229    2.0031345    1315.7895    6.2792569 
   20450         40.9    1.3571002    2.0336146    -4.791424   -2.7578094    1.9548013    1315.7895    1.5689365 
   20500           41    1.3490248    2.0215137   -4.6800424   -2.6585287    2.4295868    1315.7895   -1.8459289 
   20550         41.1    1.4348501    2.1501229   -4.7546937   -2.6045708    2.1842661    1315.7895    1.7644943 
   20600         41.2    1.3888903     2.081252   -4.6824414   -2.6011893    2.4693908    1315.7895    4.7269925 
   20650         41.3    1.4073808    2.1089601   -4.7140714   -2.6051113    2.4101225    1315.7895  -0.96701128 
   20700         41.4    1.3740385    2.0589967   -4.7163474   -2.6573508      2.39864    1315.7895     6.577051 
   20750         41.5     1.396452    2.0925833   -4.7331401   -2.6405568    2.2555744    1315.7895   0.95073237 
   20800         41.6    1.4129881    2.1173626    -4.697492   -2.5801294    2.4897932    1315.7895    4.1724121 
   20850         41.7    1.3534533    2.0281498   -4.6750338    -2.646884    2.5092628    1315.7895    2.5935395 
   20900         41.8    1.4039344    2.1037957   -4.7177304   -2.6139347    2.3747356    1315.7895 -0.076067177 
   20950         41.9    1.4122903     2.116317   -4.7426559   -2.6263388    2.2925398    1315.7895   0.34224726 
   21000           42    1.3936271    2.0883502   -4.6970739   -2.6087237    2.4289272    1315.7895   0.18223751 
   21050         42.1    1.4401579    2.1580766   -4.7567082   -2.5986316    2.1513812    1315.7895    2.8019196 
   21100         42.2     1.335765    2.0016438   -4.6606803   -2.6590365    2.4347799    1315.7895    3.1629985 
   21150         42.3    1.3911485     2.084636   -4.7275875   -2.6429514    2.2113781    1315.7895    3.3059948 
   21200         42.4    1.3847704    2.0750784   -4.7194214    -2.644343    2.2637886    1315.7895     2.904302 
   21250         42.5    1.3629673    2.0424065   -4.7062279   -2.6638214    2.2649081    1315.7895    -2.199399 
   21300         42.6    1.3565488    2.0327884   -4.7171032   -2.6843148    2.1891305    1315.7895   0.73649044 
   21350         42.7    1.4202216    2.1282021   -4.7473261   -2.6191241    2.1199639    1315.7895    1.1187254 
   21400         42.8    1.4048581    2.1051798   -4.7228865   -2.6177067    2.2086945    1315.7895    1.8397296 
   21450         42.9    1.4240016    2.1338664   -4.7390723    -2.605206    2.1616622    1315.7895    3.9402324 
   21500           43     1.363625    2.0433921   -4.6660936   -2.6227015    2.4166252    1315.7895     3.597104 
   21550         43.1    1.3619441    2.0408732   -4.6400368   -2.5991636    2.5915652    1315.7895  -0.77849735 
   21600         43.2    1.3694388    2.0521041   -4.7189552   -2.6668511    2.2428063    1315.7895    5.6071984 
   21650         43.3    1.3106733     1.964044   -4.7003838   -2.7363398     2.317782    1315.7895    2.0397431 
   21700         43.4    1.3565516    2.0327926   -4.7373869   -2.7045943    2.2139061    1315.7895 0.0064442859 
   21750         43.5    1.3642709      2.04436   -4.7166782   -2.6723182    2.2240276    1315.7895    3.6922687 
   21800         43.6    1.3584506    2.0356383   -4.7175192    -2.681881    2.2774073    1315.7895    3.5373314 
   21850         43.7    1.3748994    2.0602868   -4.7471223   -2.6868355    2.1494388    1315.7895    0.1197875 
   21900         43.8    1.3678067    2.0496583   -4.7080536   -2.6583953    2.2492405    1315.7895    5.4064861 
   21950         43.9    1.4118498    2.1156569   -4.7858123   -2.6701553    1.9422133    1315.7895    1.6433946 
   22000           44    1.3524791      2.02669   -4.7570308   -2.7303409    2.0597479    1315.7895    6.9740188 
   22050         44.1    1.3744629    2.0596327   -4.7389834   -2.6793507     2.209965    1315.7895 -0.059486004 
   22100         44.2    1.4202694    2.1282737   -4.7628133   -2.6345396    2.1139043    1315.7895    2.0201631 
   22150         44.3    1.4161389    2.1220841   -4.7338909   -2.6118068    2.2471597    1315.7895   0.16516327 
   22200         44.4    1.4204071      2.12848   -4.7182762   -2.5897962    2.2935787    1315.7895   0.72003056 
   22250         44.5    1.4085399    2.1106971   -4.7003312   -2.5896341    2.4286848    1315.7895   0.83206588 
   22300         44.6    1.4051466    2.1056121   -4.7373185   -2.6317063    2.2563441    1315.7895   -2.5630521 
   22350         44.7    1.3743595    2.0594778   -4.7599223   -2.7004445    2.1049353    1315.7895   -1.1746365 
   22400         44.8    1.4039901    2.1038792    -4.784781   -2.6809018    2.0400864    1315.7895    8.6021111 
   22450         44.9    1.3572248    2.0338014   -4.7330219   -2.6992205    2.2382281    1315.7895   -0.5850325 
   22500           45    1.3812305    2.0697739   -4.7051288    -2.635355    2.3167095    1315.7895    6.1345548 
   22550         45.1    1.4131088    2.1175436   -4.7328049   -2.6152613    2.2247686    1315.7895   0.19865178 
   22600         45.2    1.4069772    2.1083553   -4.7381516   -2.6297963    2.1911267    1315.7895   -0.4003477 
   22650         45.3     1.353178    2.0277372   -4.6706869   -2.6429498    2.4721377    1315.7895  -0.19367583 
   22700         45.4     1.388603    2.0808216   -4.6980603   -2.6172387    2.3550456    1315.7895     4.699512 
   22750         45.5    1.3720607     2.056033   -4.7021998   -2.6461668    2.3128112    1315.7895    4.1026593 
   22800         45.6    1.3791137    2.0666019    -4.722221   -2.6556191    2.2222518    1315.7895    0.1498935 
   22850         45.7    1.3816133    2.0703475   -4.7046687   -2.6343212    2.3317775    1315.7895   -1.5110911 
